R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Bart Vriends,Go Ahead Eagles,31,2760,3,0,5,1,0.3,77.4,3.4,0,7.14,31,2.3,2.5,1.3,0.9,7.2,0.6,0.9,0,7.14,59,,"Jasper CillessenAjax, 26, GK",32,2880,-,-,-,-,0.1,0.3,-,-,-,7.15,58,,"Jasper CillessenAjax, 26, GK",32,2880,-,-,31.2,65.4,-,8.8,-,7.15
Bartholomew Ogbeche,Cambuur,30(1),2638,13,2,8,1,3,68.6,3.7,4,7.13,30(1),1.1,0.7,2.2,0,1.5,0.3,0.2,0,7.13,63,,"Jeroen ZoetPSV Eindhoven, 24, GK",32,2880,-,-,-,-,0.1,0.2,-,-,0.1,7.11,69,,"Jeroen ZoetPSV Eindhoven, 24, GK",32,2880,-,-,27.3,72.9,-,8.8,-,7.11
Bas Kuipers,Excelsior,28(2),2573,0,0,3,0,0.1,74.5,0.8,0,6.75,28(2),2.9,1.8,1,0.1,3.6,0.7,0.2,0,6.75,169,,"Martin HansenADO Den Haag, 25, GK",32,2880,-,-,-,-,-,0.3,-,-,0.1,6.84,143,,"Martin HansenADO Den Haag, 25, GK",32,2880,-,-,40.4,59.3,-,10.9,-,6.84
Ben Rienstra,PEC Zwolle,32,2834,5,1,5,0,1.5,80.8,1.3,2,6.95,32,1.7,1.6,1,0,1.6,0.7,0.2,0,6.95,111,,"Sergio PadtGroningen, 25, GK",32,2880,-,1,-,0.1,-,0.2,-,-,-,6.99,96,,"Sergio PadtGroningen, 25, GK",32,2880,1,0.1,35.3,52.5,-,8.5,-,6.99
Ben Sahar,Willem II,26(7),2146,7,4,2,0,1.5,69.7,1.1,2,6.71,26(7),0.5,0.7,0.6,0,0.3,0.6,0,0,6.7,180,,"Maikel KieftenbeldGroningen, 25, DM(C)",33,2879,-,4,0.7,0.6,0.4,1,-,0.7,0.5,6.79,154,,"Maikel KieftenbeldGroningen, 25, DM(C)",33,2879,4,0.6,45,82.7,0.1,2.8,0.1,6.79
Bertrand Traore,Vitesse,27(2),2159,13,4,5,0,4,75.4,1.4,4,7.42,27(2),0.8,0.5,1,0,0.1,0.5,0.1,0,7.42,15,,"Georginio WijnaldumPSV Eindhoven, 24, AM(C)",32(1),2878,14,3,2.5,1.2,1.9,1.3,-,2,1.5,7.47,12,,"Georginio WijnaldumPSV Eindhoven, 24, AM(C)",32(1),2878,3,1.2,33.1,84.4,-,1.6,0.2,7.47
Bram van Polen,PEC Zwolle,32,2755,1,1,6,0,0.5,83.5,1.6,1,7.16,32,2.6,2,1.6,0.2,3.1,1,0.6,0,7.16,55,,"Kamohelo MokotjoTwente, 24, DM(C)",32(1),2875,1,7,0.6,1.1,0.9,1.3,-,1.1,0.8,7.03,83,,"Kamohelo MokotjoTwente, 24, DM(C)",32(1),2875,7,1.1,61.4,88.7,0.1,3.7,0.2,7.03
Bruno Andrade,Willem II,18(9),1618,4,5,2,0,2,77.6,0.4,0,6.75,18(9),0.7,0.7,0.6,0,0.3,0.3,0,0,6.75,172,,"Dion MaloneADO Den Haag, 26, D(R),DM(C)",33,2866,-,6,0.4,0.8,0.8,0.8,0.1,1.2,0.8,6.85,139,,"Dion MaloneADO Den Haag, 26, D(R),DM(C)",33,2866,6,0.8,32.7,74.2,0.4,2.1,0.1,6.85
Bryan Linssen,Heracles,31(2),2718,10,8,6,0,2,67.4,0.8,5,7,31(2),1.5,0.8,2,0,0.8,0.9,0,0,7,94,,"Nemanja GudeljAZ Alkmaar, 23, DM(C)",32,2859,11,3,2.4,0.9,0.9,1.9,0.1,1.3,1.4,7.35,18,,"Nemanja GudeljAZ Alkmaar, 23, DM(C)",32,2859,3,0.9,43.2,81.8,0.5,2.2,-,7.35
Calvin Mac-Intosch,Cambuur,13(7),1242,0,2,1,0,0.2,88,0.9,2,6.8,13(7),1.7,1.7,0.7,0.5,4.5,0.6,0.5,0,6.8,150,,"Jesper DrostPEC Zwolle, 22, AM(C)",32(1),2856,8,8,1.6,1.4,0.8,1,0.2,1.8,1.8,6.9,125,,"Jesper DrostPEC Zwolle, 22, AM(C)",32(1),2856,8,1.4,29.2,78.7,0.1,1.1,0.2,6.9
Celso Ortiz,AZ Alkmaar,24,2005,0,0,2,0,0.5,79.7,1,0,7.08,24,3,3.2,1.2,0.1,1.6,2,0.5,0,7.08,77,,"Jop van der LindenGo Ahead Eagles, 25, D(C)",32,2845,1,4,1,1.2,0.1,0.5,-,0.2,0.1,7.33,21,,"Jop van der LindenGo Ahead Eagles, 25, D(C)",32,2845,4,1.2,42.8,77,1.4,5.8,-,7.33
Christian Kum,Utrecht,26(3),2173,3,0,4,0,0.8,77.4,1.4,1,7.13,26(3),2.6,3.2,1.2,0.4,3.5,0.6,0.2,2,7.13,62,,"Luuk de JongPSV Eindhoven, 25, AM(C),FW",32,2845,20,10,3.7,1.9,0.6,1.4,0.5,2.6,2.8,7.96,1,,"Luuk de JongPSV Eindhoven, 25, AM(C),FW",32,2845,10,1.9,30.4,71.1,-,0.5,0.1,7.96
Colin Kazim-Richards,Feyenoord,25(2),2174,11,5,4,0,3,74.6,2.9,0,7.07,25(2),0.3,0,2.6,0,0.4,0.1,0,0,7.07,80,,"Filip KurtoFC Dordrecht, 24, GK",32,2841,-,1,-,0.1,-,0.1,-,-,0.1,6.73,174,,"Filip KurtoFC Dordrecht, 24, GK",32,2841,1,0.1,36,57.1,-,9.9,-,6.73
Cuco Martina,Twente,31(1),2822,0,1,4,0,0.3,81.5,1.3,0,6.69,31(1),1.3,1.8,1.3,0.4,3.9,0.4,0.2,0,6.69,187,,"Ben RienstraPEC Zwolle, 25, D(C),DM(C)",32,2834,5,1,1.5,0.8,0.6,1,-,1.1,0.8,6.95,111,,"Ben RienstraPEC Zwolle, 25, D(C),DM(C)",32,2834,1,0.8,48.4,80.8,0.1,2.7,-,6.95
Daan Bovenberg,Excelsior,18(1),1608,2,3,2,0,0.5,65.7,1.6,2,7.11,18(1),2.8,2.4,1.5,0.3,6.3,0.9,0.3,0,7.11,67,,"Jan-Arie van der HeijdenVitesse, 27, D(C)",32,2832,2,1,0.6,0.4,0.5,0.5,-,0.5,0.3,7.24,34,,"Jan-Arie van der HeijdenVitesse, 27, D(C)",32,2832,1,0.4,61.2,87.4,-,6.9,-,7.24
