R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Gino Coutinho,Excelsior,19,1710,0,0,0,0,0,57.6,0.2,0,6.52,19,0,0.2,0,0,0.8,0.1,0,0,6.52,229,,"Lex ImmersFeyenoord, 29, AM(C)",30,2630,7,4,2.4,1.7,0.3,1.4,0.4,1.2,1.4,7.24,29,,"Lex ImmersFeyenoord, 29, AM(C)",30,2630,4,1.7,39.5,76.3,0.2,1.7,0.1,7.24
Giovanni Korte,FC Dordrecht,16(1),1327,3,0,0,0,1.6,69.3,0.4,0,6.66,16(1),0.9,0.8,1.1,0,0.5,0.7,0,0,6.66,190,,"Miquel NelomFeyenoord, 24, D(L)",30,2625,-,2,0.4,1,0.7,1,-,0.8,1,7.08,78,,"Miquel NelomFeyenoord, 24, D(L)",30,2625,2,1,46.3,82.4,0.9,5.9,-,7.08
Guram Kashia,Vitesse,24(2),2200,1,2,7,0,0.7,83.4,3.2,3,7.57,24(2),3,2.9,0.8,0.6,7.3,0.6,0.7,0,7.57,10,,"Roland AlbergADO Den Haag, 25, AM(CL)",29(3),2607,8,9,2.2,1.5,0.4,1.8,0.1,1.3,1.4,6.98,101,,"Roland AlbergADO Den Haag, 25, AM(CL)",29(3),2607,9,1.5,28.6,77.8,1.5,2.1,0.2,6.98
Guus Hupperts,AZ Alkmaar,13(15),1382,2,1,4,0,1.3,68.9,0.4,0,6.57,13(15),0.9,0.6,0.7,0,0.4,0.5,0,0,6.57,215,,"Davy PröpperVitesse, 23, M(C)",30,2587,5,4,2.4,2.2,1.3,1.6,0.1,2.1,1.7,7.24,30,,"Davy PröpperVitesse, 23, M(C)",30,2587,4,2.2,47.7,77,0.1,2.7,0.2,7.24
Hakim Ziyech,Twente,31,2723,11,16,4,0,3.6,73.1,0.8,6,7.61,31,2.2,1,1.8,0,0.1,1.5,0.1,0,7.61,7,,"Davy KlaassenAjax, 22, M(C)",30,2583,6,9,1.4,1.4,0.4,1.5,-,1.1,1.2,7.47,11,,"Davy KlaassenAjax, 22, M(C)",30,2583,9,1.4,49.3,82.3,0.1,1.8,0.3,7.47
Hans Hateboer,Groningen,18(5),1703,0,2,3,0,0.3,78.9,1,0,6.75,18(5),2.3,1.5,1.4,0,3.7,0.6,0.2,1,6.75,170,,"Johan KappelhofGroningen, 25, D(CR)",29,2576,-,-,-,0.2,0.4,0.3,-,0.4,0.3,6.78,160,,"Johan KappelhofGroningen, 25, D(CR)",29,2576,-,0.2,43.2,84.1,0.3,2.5,-,6.78
Henrico Drost,NAC Breda,18,1608,0,0,2,0,0.1,87.6,2.2,0,6.77,18,0.9,2.6,0.4,0.6,7.6,0.3,0.6,0,6.77,162,,"Bas KuipersExcelsior, 21, D(L)",28(2),2573,-,-,0.1,0.3,0.4,1,-,0.4,0.7,6.75,169,,"Bas KuipersExcelsior, 21, D(L)",28(2),2573,-,0.3,25.9,74.5,0.3,2,-,6.75
Ilias Haddad,FC Dordrecht,23(2),1964,0,0,6,2,0.5,81.9,2.5,0,6.56,23(2),1.8,1.8,2,0.7,5.5,0.6,0.3,0,6.56,216,,"Maikel van der WerffPEC Zwolle, 26, D(C)",29(4),2570,4,1,0.9,0.4,0.1,0.6,-,0.4,0.2,7.25,27,,"Maikel van der WerffPEC Zwolle, 26, D(C)",29(4),2570,1,0.4,46.9,84.3,0.1,5.1,0.1,7.25
Iliass Bel Hassani,Heracles,16(15),1806,4,5,2,0,1.6,74.1,0.3,1,6.83,16(15),1,0.6,0.4,0,0.2,0.4,0.1,0,6.83,148,,"Memphis DepayPSV Eindhoven, 21, AM(L)",30,2565,22,5,5.4,2,2.7,1.6,0.8,2.5,3.1,7.92,2,,"Memphis DepayPSV Eindhoven, 21, AM(L)",30,2565,5,2,32,74.7,1.1,1.5,0.2,7.92
Jaïro Riedewald,Ajax,10(9),946,0,0,1,0,0.1,89.9,0.7,0,6.71,10(9),1.8,1.4,0.5,0.1,1.6,0.4,0.2,0,6.71,181,,"Robbie HaemhoutsWillem II, 31, M(C)",31,2560,5,2,1.2,0.9,0.6,0.8,-,1.2,0.9,6.9,124,,"Robbie HaemhoutsWillem II, 31, M(C)",31,2560,2,0.9,30.4,73.4,-,1.9,0.2,6.9
Jan-Arie van der Heijden,Vitesse,32,2832,2,1,5,0,0.6,87.4,2.7,0,7.24,32,2.6,1.7,1.1,0.8,5.1,0.8,0.9,0,7.24,34,,"Karim RekikPSV Eindhoven, 20, D(C)",29,2559,1,-,0.2,0.2,0.1,0.8,-,0.1,0.2,7.16,56,,"Karim RekikPSV Eindhoven, 20, D(C)",29,2559,-,0.2,45.8,88,-,2.9,-,7.16
Jarchinio Antonia,Groningen,22(5),1888,2,7,4,0,0.8,74.4,0.3,1,6.8,22(5),1.3,1,0.3,0,0.4,0.5,0.1,0,6.8,151,,"Jody LukokiPEC Zwolle, 22, AM(R)",28(3),2556,2,3,0.9,1.3,1.5,2.1,0.4,2,1.9,6.88,129,,"Jody LukokiPEC Zwolle, 22, AM(R)",28(3),2556,3,1.3,20.3,75.4,1.7,0.3,-,6.88
Jasper Cillessen,Ajax,32,2880,0,0,0,0,0,65.4,0.1,2,7.15,32,0.1,0,0,0,1,0.1,0,0,7.15,58,,"Luciano NarsinghPSV Eindhoven, 24, AM(R)",31(1),2552,6,10,1.4,1.7,1.8,0.9,0.4,1.7,1.6,7.23,37,,"Luciano NarsinghPSV Eindhoven, 24, AM(R)",31(1),2552,10,1.7,22.2,81,1,0.1,0.1,7.23
Jean-Paul Boëtius,Feyenoord,20(11),1770,4,3,2,0,1.5,79.7,0.6,0,6.79,20(11),1.5,0.5,1.3,0,0,0.4,0,0,6.79,153,,"Robbert SchilderTwente, 29, D(L)",29(1),2550,-,-,0.4,0.7,0.4,0.7,0.1,0.3,0.6,6.85,140,,"Robbert SchilderTwente, 29, D(L)",29(1),2550,-,0.7,36.9,81.7,0.6,2.8,-,6.85
Jeff Stans,Excelsior,32(2),2743,10,3,2,0,1.1,72,0.7,2,6.78,32(2),1.4,0.6,0.9,0,0.6,1.5,0.1,0,6.78,157,,"Mattias JohanssonAZ Alkmaar, 23, D(R)",27(4),2547,1,2,0.6,0.5,1.5,1.1,-,0.5,0.9,7.22,39,,"Mattias JohanssonAZ Alkmaar, 23, D(R)",27(4),2547,2,0.5,34.1,73.9,0.1,1.9,-,7.22
Jeffrey Bruma,PSV Eindhoven,29(2),2643,3,2,2,1,1,88.7,2.2,0,7.23,29(2),1.5,1.9,0.6,0.4,5.2,0.4,0.9,0,7.23,36,,"Karim El AhmadiFeyenoord, 30, DM(C)",29,2543,2,1,1.8,1.2,0.4,0.9,0.2,1.7,1.4,6.97,104,,"Karim El AhmadiFeyenoord, 30, DM(C)",29,2543,1,1.2,51.4,89.8,0.3,1.8,0.1,6.97
Jeffrey Gouweleeuw,AZ Alkmaar,34,3060,1,3,4,0,0.6,78,1.8,3,7.2,34,2.1,3.5,1.1,0.5,6.8,0.6,0.7,1,7.2,47,,"Willem JanssenUtrecht, 29, M(C)",30,2538,3,-,1.1,0.8,0.3,0.9,0.1,1,1,6.84,144,,"Willem JanssenUtrecht, 29, M(C)",30,2538,-,0.8,41.4,80.1,0.1,2.4,-,6.84
Jeffrey Rijsdijk,Go Ahead Eagles,18(7),1578,3,4,0,0,1,74.7,0.4,0,6.42,18(7),0.8,0.6,0.4,0,0.2,0.3,0.1,0,6.42,241,,"Joey van den BergHeerenveen, 29, AM(C)",29,2535,2,5,1.4,1.9,0.9,1.9,0.1,1.9,1.5,7.1,72,,"Joey van den BergHeerenveen, 29, AM(C)",29,2535,5,1.9,43.3,77.1,0.8,3,0.2,7.1
Jeffrey Sarpong,NAC Breda,19(9),1844,2,5,2,0,1.3,80.6,0.3,0,6.77,19(9),1.7,0.8,0.9,0,0.8,0.4,0.1,0,6.77,161,,"Samuel ArmenterosWillem II, 25, AM(R),FW",29,2531,11,2,1.8,1.2,1.3,2.1,0.7,3.6,3.5,6.86,134,,"Samuel ArmenterosWillem II, 25, AM(R),FW",29,2531,2,1.2,20.4,75,0.1,0.6,0.2,6.86
Jeffry Fortes,FC Dordrecht,30(1),2631,3,1,3,0,0.8,71.6,1.7,2,7.03,30(1),2.1,2.7,1,0.3,5.3,1.1,0.2,1,7.03,85,,"Adil AuassarExcelsior, 28, M(C)",29(2),2521,4,3,1.7,1.2,0.8,1,0.2,1.7,1.6,6.84,145,,"Adil AuassarExcelsior, 28, M(C)",29(2),2521,3,1.2,31.1,63.6,0.8,2.2,-,6.84
Jelle ten Rouwelaar,NAC Breda,34,3060,0,0,3,0,0,52.2,0.1,1,6.58,34,0.1,0,0.1,0,1,0,0,0,6.58,208,,"Lucas BijkerCambuur, 22, D(CL)",28(2),2502,-,2,0.5,0.4,0.9,1.4,-,0.4,0.6,6.88,130,,"Lucas BijkerCambuur, 22, D(CL)",28(2),2502,2,0.4,45.8,81.8,-,5.1,-,6.88
Jens Toornstra,Feyenoord,24(5),2066,7,4,0,0,2.5,78.5,0.2,3,7.09,24(5),0.9,0.6,0.8,0,0.7,0.6,0,0,7.09,73,,"Ricardo van RhijnAjax, 24, D(R)",28,2500,2,1,1.2,1.2,0.5,0.4,0.1,0.6,0.9,7.23,38,,"Ricardo van RhijnAjax, 24, D(R)",28,2500,1,1.2,47.5,84.7,0.9,3.8,-,7.23
Jeroen Veldmate,Heracles,21,1835,2,1,3,1,0.8,82.4,2.1,0,7.08,21,1.7,2.7,1.6,0.5,9.1,0.4,0.7,1,7.08,74,,"Mitchell DijksWillem II, 22, D(L)",28,2492,-,1,0.6,0.6,1.4,1.2,-,1.1,0.7,7.08,75,,"Mitchell DijksWillem II, 22, D(L)",28,2492,1,0.6,34.7,77.3,0.6,3.8,-,7.08
Jeroen Zoet,PSV Eindhoven,32,2880,0,0,0,0,0,72.9,0.2,2,7.11,32,0,0,0,0,0.6,0,0,0,7.11,69,,"Jetro WillemsPSV Eindhoven, 21, D(L)",30,2455,2,13,0.7,2.5,1,1.6,0.1,1.3,1.2,7.65,5,,"Jetro WillemsPSV Eindhoven, 21, D(L)",30,2455,13,2.5,34.4,78.5,2.5,3.3,0.3,7.65
Jerson Cabral,Willem II,8(9),721,2,0,2,0,1.1,75.5,0.2,0,6.48,8(9),0.9,0.6,0.5,0,0.3,0.5,0,0,6.48,233,,"Jordan BotakaExcelsior, 22, AM(R),FW",26(7),2445,1,6,1.1,1.1,2,0.6,0.2,2.7,1.8,6.78,158,,"Jordan BotakaExcelsior, 22, AM(R),FW",26(7),2445,6,1.1,23.2,70.7,0.8,0.6,-,6.78
Jesper Drost,PEC Zwolle,32(1),2856,8,8,4,0,1.6,78.7,0.5,2,6.9,32(1),1.1,0.5,1.2,0,0.6,0.6,0.1,0,6.9,125,,"Robin GosensFC Dordrecht, 21, D(L),DM(C)",27(4),2445,2,-,1,0.9,0.6,1,0.1,0.4,1,7.16,57,,"Robin GosensFC Dordrecht, 21, D(L),DM(C)",27(4),2445,-,0.9,26.9,71.5,1,1.8,-,7.16
Jesús Manuel Corona,Twente,27,2309,9,4,3,0,2,77.1,0.9,3,7.58,27,2,1.3,1.1,0,0.3,1,0.1,0,7.58,9,,"Deniz TurucGo Ahead Eagles, 22, AM(CR)",28(1),2444,2,2,2.1,0.9,0.9,2.3,0.1,1.9,1.9,6.71,179,,"Deniz TurucGo Ahead Eagles, 22, AM(CR)",28(1),2444,2,0.9,32.8,79.8,0.2,1.8,-,6.71
Jetro Willems,PSV Eindhoven,30,2455,2,13,9,1,0.7,78.5,0.7,4,7.65,30,1.6,2.3,1.5,0.2,2.1,0.6,0.3,0,7.65,5,,"Wout WeghorstHeracles, 23, FW",27(4),2431,8,5,1.5,1.3,0.2,2,0.6,1.8,1.9,6.96,109,,"Wout WeghorstHeracles, 23, FW",27(4),2431,5,1.3,25.1,67.5,-,0.4,-,6.96
Jody Lukoki,PEC Zwolle,28(3),2556,2,3,7,0,0.9,75.4,0.5,1,6.88,28(3),2,0.5,1.4,0,0.1,0.5,0.1,0,6.88,129,,"Sven NieuwpoortGo Ahead Eagles, 22, D(R)",26(1),2410,1,-,0.4,0.4,0.2,0.4,-,0.3,0.5,6.54,224,,"Sven NieuwpoortGo Ahead Eagles, 22, D(R)",26(1),2410,-,0.4,31.3,78.1,0.3,3.4,-,6.54
Joël Veltman,Ajax,25,2186,4,0,3,0,0.6,88.6,3,3,7.59,25,2,2.3,1.1,0.6,7.6,0.4,0.9,1,7.59,8,,"Adam MaherPSV Eindhoven, 22, DM(C)",30(1),2401,7,5,2,2,0.4,1,0.2,1.7,1.1,7.34,19,,"Adam MaherPSV Eindhoven, 22, DM(C)",30(1),2401,5,2,43.4,83.6,1.6,2.8,0.2,7.34
Joeri de Kamps,NAC Breda,27(2),2354,0,4,12,0,0.5,76.1,0.6,1,7.01,27(2),3.9,3,2.4,0,1.4,2.4,0.3,0,7.01,91,,"Rick KruysExcelsior, 30, DM(C)",28,2390,-,1,0.5,0.5,0.2,0.7,-,0.4,0.4,6.7,182,,"Rick KruysExcelsior, 30, DM(C)",28,2390,1,0.5,29,81.5,0.1,1.9,0.1,6.7
Joey Pelupessy,Heracles,10(7),986,1,0,1,0,0.4,81.4,0.6,0,6.51,10(7),1.8,1.2,1.2,0,0.9,0.4,0.3,0,6.51,230,,"Valeri QazaishviliVitesse, 22, AM(C)",27(6),2365,9,3,2,1.1,1.4,0.7,0.3,2.2,1.8,6.92,119,,"Valeri QazaishviliVitesse, 22, AM(C)",27(6),2365,3,1.1,24.6,87.1,0.1,0.4,0.1,6.92
Joey van den Berg,Heerenveen,29,2535,2,5,9,1,1.4,77.1,1.8,0,7.1,29,2,1.3,2,0.1,1.2,1.1,0.1,0,7.1,72,,"Frank van der StruijkWillem II, 30, D(R)",25(4),2355,1,1,0.3,0.5,0.2,0.4,0.1,0.4,0.6,6.92,120,,"Frank van der StruijkWillem II, 30, D(R)",25(4),2355,1,0.5,32.4,73.7,0.2,3.7,-,6.92
Johan Kappelhof,Groningen,29,2576,0,0,1,1,0,84.1,1.3,0,6.78,29,1.5,2.5,1.2,0.2,5.4,0.5,0.7,2,6.78,160,,"Joeri de KampsNAC Breda, 23, DM(C)",27(2),2354,-,4,0.5,0.9,1.3,1.1,-,1.3,1.1,7.01,91,,"Joeri de KampsNAC Breda, 23, DM(C)",27(2),2354,4,0.9,37,76.1,0.1,3.8,-,7.01
Joost Broerse,PEC Zwolle,14(6),1315,1,0,1,0,0.5,82.9,1.2,0,6.56,14(6),0.7,1.3,0.5,1,3.7,0.5,0.7,0,6.56,219,,"EstebanAZ Alkmaar, 26, GK",26,2340,-,-,-,-,-,0.1,-,-,0.1,6.69,185,,"EstebanAZ Alkmaar, 26, GK",26,2340,-,-,26.4,53.8,-,7.2,-,6.69
Joost van Aken,Heerenveen,30,2630,0,0,5,0,0.5,78.4,2.7,0,7.26,30,2.3,2.6,1.1,1.4,8.3,0.7,0.6,0,7.26,26,,"Thomas BrunsHeracles, 23, AM(C)",29(3),2330,7,3,1.4,0.9,0.7,1.9,0.1,0.9,1.3,6.81,149,,"Thomas BrunsHeracles, 23, AM(C)",29(3),2330,3,0.9,25.8,68.2,0.3,2.2,0.1,6.81
Jop van der Linden,Go Ahead Eagles,32,2845,1,4,4,0,1,77,1.7,5,7.33,32,1.8,3.1,0.7,0.8,7.9,0.5,0.6,1,7.33,21,,"Ramon LeeuwinUtrecht, 27, D(C)",27,2326,-,-,0.8,0.3,0.2,0.7,-,0.1,0.3,6.91,122,,"Ramon LeeuwinUtrecht, 27, D(C)",27,2326,-,0.3,53.7,86.7,-,5.4,-,6.91
Jordan Botaka,Excelsior,26(7),2445,1,6,0,0,1.1,70.7,1.6,0,6.78,26(7),0.8,0.8,0.6,0,0.3,0.6,0.1,0,6.78,158,,"Luc CastaignosTwente, 22, FW",27(2),2314,10,-,2.3,0.7,0.8,2.1,1.2,2.3,2.7,6.77,165,,"Luc CastaignosTwente, 22, FW",27(2),2314,-,0.7,19.3,76.4,0.2,0.2,-,6.77
Jordens Peters,Willem II,34,2995,0,1,4,0,0.4,83.1,2.5,2,7.07,34,1.5,3.2,1.3,0.7,5.6,0.4,0.7,0,7.07,81,,"Jesús Manuel CoronaTwente, 22, AM(LR),FW",27,2309,9,4,2,1.3,3.5,2.3,0.6,2.6,3,7.58,9,,"Jesús Manuel CoronaTwente, 22, AM(LR),FW",27,2309,4,1.3,32.5,77.1,0.6,0.8,0.2,7.58
Jordy Clasie,Feyenoord,31,2780,2,5,9,0,1.2,83.2,0.7,0,7.24,31,2.6,2.2,1.4,0,1.4,1,0.2,0,7.24,33,,"Andrés GuardadoPSV Eindhoven, 28, D(L),M(CL)",27(1),2307,1,-,0.5,1.2,1,1.4,0.1,1.1,0.8,7.18,51,,"Andrés GuardadoPSV Eindhoven, 28, D(L),M(CL)",27(1),2307,-,1.2,52.2,83.9,0.4,4.4,0.2,7.18
Joris van Overeem,FC Dordrecht,33(1),2904,2,4,2,0,1,75.7,0.5,1,6.62,33(1),1.7,1,1.2,0,0.7,0.9,0.2,0,6.62,199,,"Lasse SchöneAjax, 29, AM(CLR)",26(3),2276,8,9,2,1.8,1.2,1.6,0.2,2.4,1.7,7.34,20,,"Lasse SchöneAjax, 29, AM(CLR)",26(3),2276,9,1.8,33.3,83.2,1.6,0.8,0.2,7.34
Jorrit Hendrix,PSV Eindhoven,12(8),1120,1,0,1,1,0.4,79.8,0.6,1,6.83,12(8),1.3,1.8,0.9,0.1,1.6,0.9,0.4,0,6.83,147,,"Thomas KristensenADO Den Haag, 32, DM(C)",28(2),2272,1,1,0.4,1.2,0.8,1.3,-,0.8,0.6,6.99,98,,"Thomas KristensenADO Den Haag, 32, DM(C)",28(2),2272,1,1.2,46.3,82.3,0.3,3.8,-,6.99
Joshua Brenet,PSV Eindhoven,13(5),1238,1,0,1,1,0.3,83.5,0.6,0,7.17,13(5),2.9,1.5,1.7,0.1,2.4,1.1,0.3,0,7.17,52,,"Andreas BjellandTwente, 27, D(C)",26,2244,3,3,0.7,0.5,0.2,0.6,-,0.1,0.4,7.27,25,,"Andreas BjellandTwente, 27, D(C)",26,2244,3,0.5,60.5,81.8,-,5.7,-,7.27
Josimar Lima,FC Dordrecht,19(1),1636,1,1,3,2,0.5,73.6,3.9,0,6.87,19(1),1.8,2,1.2,1.1,8.7,0.4,0.7,1,6.87,132,,"Vytautas AndriuskeviciusCambuur, 24, D(L)",26(1),2236,-,-,0.2,0.6,0.3,1,-,0.4,0.4,6.93,115,,"Vytautas AndriuskeviciusCambuur, 24, D(L)",26(1),2236,-,0.6,40.9,79.5,0.4,4.3,-,6.93
Jules Reimerink,Go Ahead Eagles,11(17),1294,2,1,3,0,0.9,70.5,1.1,0,6.34,11(17),0.9,0.3,0.6,0,0.2,0.4,0.1,0,6.34,248,,"Vito WormgoorADO Den Haag, 26, D(C)",26,2227,-,1,0.7,0.3,0.1,0.3,-,-,0.3,6.59,204,,"Vito WormgoorADO Den Haag, 26, D(C)",26,2227,1,0.3,44.8,81.7,-,5.8,-,6.59
Jürgen Locadia,PSV Eindhoven,5(18),698,6,3,0,0,1,84.2,0.1,1,6.57,5(18),0.2,0.3,0.4,0,0.4,0.3,0,0,6.57,211,,"Sander van de StreekCambuur, 22, M(C)",25(4),2218,7,2,1.9,0.7,0.6,0.7,0.1,1,1.5,6.78,159,,"Sander van de StreekCambuur, 22, M(C)",25(4),2218,2,0.7,25.3,74.6,0.1,1.4,0.1,6.78
Jurgen Mattheij,Excelsior,18(2),1630,0,0,0,1,0.4,78.2,2.1,2,6.97,18(2),1.7,2.5,1,1.2,9.4,0.4,0.4,0,6.97,103,,"Niklas MoisanderAjax, 29, D(C)",25,2205,-,-,0.3,0.3,0.5,0.4,-,0.1,0.4,7.2,45,,"Niklas MoisanderAjax, 29, D(C)",25,2205,-,0.3,70.2,87.5,-,6.1,-,7.2
Kamohelo Mokotjo,Twente,32(1),2875,1,7,4,0,0.6,88.7,0.8,2,7.03,32(1),2.1,2.4,0.7,0,1.3,0.6,0.1,0,7.03,83,,"Guram KashiaVitesse, 28, D(C)",24(2),2200,1,2,0.7,0.5,0.3,0.6,-,0.1,0.2,7.57,10,,"Guram KashiaVitesse, 28, D(C)",24(2),2200,2,0.5,57.8,83.4,-,6.2,-,7.57
Karim El Ahmadi,Feyenoord,29,2543,2,1,5,0,1.8,89.8,0.4,0,6.97,29,2.9,1.2,2.6,0,0.7,0.9,0,0,6.97,104,,"Joël VeltmanAjax, 23, D(C)",25,2186,4,-,0.6,0.2,0.6,1.2,-,0.2,0.5,7.59,8,,"Joël VeltmanAjax, 23, D(C)",25,2186,-,0.2,64.9,88.6,-,5.7,-,7.59
Karim Rekik,PSV Eindhoven,29,2559,1,0,3,0,0.2,88,2,1,7.16,29,1.8,1.7,0.8,0.5,4.8,0.4,1,0,7.16,56,,"Colin Kazim-RichardsFeyenoord, 29, FW",25(2),2174,11,5,3,1.5,0.5,1.9,0.7,1.9,2.6,7.07,80,,"Colin Kazim-RichardsFeyenoord, 29, FW",25(2),2174,5,1.5,23.2,74.6,0.2,0.6,-,7.07
Kelvin Leerdam,Vitesse,14(6),1266,2,1,2,0,1.7,75.7,1.2,0,6.58,14(6),1.3,0.4,1.3,0.1,1.4,0.2,0,0,6.58,206,,"Christian KumUtrecht, 29, D(CLR)",26(3),2173,3,-,0.8,0.7,0.6,0.7,-,0.5,0.8,7.13,62,,"Christian KumUtrecht, 29, D(CLR)",26(3),2173,-,0.7,29.7,77.4,0.5,3.1,-,7.13
Kenneth Vermeer,Feyenoord,30,2700,0,0,1,0,0,67.1,0.3,0,6.44,30,0,0.1,0,0,0.4,0,0,0,6.44,239,,"Anwar El GhaziAjax, 20, AM(R)",23(8),2172,9,8,2.3,1.1,1.9,1.8,0.3,1.8,2.1,7.21,41,,"Anwar El GhaziAjax, 20, AM(R)",23(8),2172,8,1.1,17.7,76.7,1.3,0.2,-,7.21
Kenny Otigba,Heerenveen,17(7),1624,0,2,7,0,0.6,81.8,2.2,3,6.94,17(7),1.3,1.8,1.4,1,4.4,0.2,0.5,0,6.94,114,,"Mike te WierikHeracles, 23, D(CR)",24,2160,-,1,-,0.3,0.2,0.7,-,0.3,0.5,6.94,112,,"Mike te WierikHeracles, 23, D(CR)",24,2160,1,0.3,33.8,80.3,0.2,3.1,-,6.94
Kenny van der Weg,NAC Breda,22(2),1994,1,1,6,0,0.4,75.2,1.9,1,6.95,22(2),2.2,2.5,1.3,0.3,6.5,0.7,0.2,0,6.95,110,,"Bertrand TraoreVitesse, 19, AM(R),FW",27(2),2159,13,4,4,1.4,1.4,0.9,1.1,1.4,2.8,7.42,15,,"Bertrand TraoreVitesse, 19, AM(R),FW",27(2),2159,4,1.4,31.3,75.4,0.1,1.1,-,7.42
Kevin Diks,Vitesse,20(2),1809,0,0,4,0,0.2,80.4,1.3,0,7.2,20(2),3.2,2.5,2.1,0.1,3.6,1.2,0.2,0,7.2,46,,"Ben SaharWillem II, 26, AM(LR),FW",26(7),2146,7,4,1.5,0.7,0.6,1.2,0.6,1,1.6,6.71,180,,"Ben SaharWillem II, 26, AM(LR),FW",26(7),2146,4,0.7,14.5,69.7,0.4,0.6,-,6.71
Kevin Jansen,ADO Den Haag,18(7),1590,0,1,6,0,0.5,75.2,0.7,0,6.45,18(7),1.2,1.1,0.8,0,1.4,0.8,0.2,0,6.45,237,,"Michael de LeeuwGroningen, 28, AM(C),FW",23(5),2145,17,1,1.7,0.8,0.1,0.8,0.3,0.8,1.3,6.92,121,,"Michael de LeeuwGroningen, 28, AM(C),FW",23(5),2145,1,0.8,21,77.7,-,0.4,-,6.92
Kevin van Diermen,Excelsior,17(2),1436,0,1,2,0,0.1,85.3,1.5,0,6.58,17(2),1.4,2.2,0.7,0.7,5.7,0.2,0.4,1,6.58,209,,"Wesley HoedtAZ Alkmaar, 21, D(C)",24,2141,2,-,0.5,0.2,0.4,0.4,-,0.2,0.3,7.44,14,,"Wesley HoedtAZ Alkmaar, 21, D(C)",24,2141,-,0.2,47,80.5,-,6.8,-,7.44
Kevin Vermeulen,Excelsior,2(22),398,2,0,1,0,0.4,64.4,0.1,0,6.18,2(22),0.3,0.2,0.4,0,0.3,0.2,0,0,6.18,253,,"Marvin PeersmanFC Dordrecht, 24, D(CL)",24(2),2134,-,-,0.6,0.3,0.6,1.3,0.1,0.5,0.8,7,92,,"Marvin PeersmanFC Dordrecht, 24, D(CL)",24(2),2134,-,0.3,43.1,74,0.2,3.9,-,7
Khalid Karami,Excelsior,16(2),1487,1,0,2,0,0.4,74.1,0.6,0,6.66,16(2),2.1,2.1,0.9,0.2,3.1,0.7,0.2,0,6.66,191,,"Erik FalkenburgNAC Breda, 27, AM(C),FW",24(3),2126,5,1,1.9,0.7,0.6,0.8,0.4,0.8,1.3,6.56,221,,"Erik FalkenburgNAC Breda, 27, AM(C),FW",24(3),2126,1,0.7,24.5,78.7,0.1,1.2,-,6.56
Kolbeinn Sigthorsson,Ajax,13(8),1195,7,2,1,0,1.7,68,3,0,6.86,13(8),0.5,0.2,0.7,0,0.7,0.3,0,0,6.86,133,,"Youness MokhtarTwente, 24, AM(L)",24(8),2100,5,4,1.8,0.8,1.8,1.7,0.4,1.6,2.2,7.03,84,,"Youness MokhtarTwente, 24, AM(L)",24(8),2100,4,0.8,23.8,78.7,0.5,0.8,0.1,7.03
Kostas Lamprou,Willem II,33,2954,0,0,2,1,0,66.5,0.2,0,6.67,33,0,0.1,0.1,0,0.7,0,0,0,6.67,189,,"Zakaria LabyadVitesse, 22, AM(CLR)",24(5),2089,8,4,3.4,2.1,1.3,0.6,0.2,1.2,1.9,7.19,48,,"Zakaria LabyadVitesse, 22, AM(CLR)",24(5),2089,4,2.1,32.1,78.9,0.9,2.1,0.1,7.19
Kristoffer Nordfeldt,Heerenveen,34,3060,0,0,2,0,0,56.1,0,1,6.9,34,0,0,0,0,0.6,0,0,0,6.9,123,,"Ali MessaoudWillem II, 24, M(C)",23(4),2081,5,6,1.9,1.3,0.3,0.7,0.1,1.5,1.2,6.77,163,,"Ali MessaoudWillem II, 24, M(C)",23(4),2081,6,1.3,25.7,74.4,0.7,1.2,0.1,6.77
Kristoffer Peterson,Utrecht,14(6),1131,2,2,0,0,1.7,79.9,0.2,0,6.53,14(6),0.5,0.5,0.5,0.1,0.2,0.5,0.1,0,6.53,227,,"Eloy RoomVitesse, 26, GK",23,2070,-,-,-,-,-,0.1,-,-,-,6.86,135,,"Eloy RoomVitesse, 26, GK",23,2070,-,-,30,56.1,-,7.9,-,6.86
Kyle Ebecilio,Twente,21(5),1858,3,2,2,0,0.8,85,0.5,0,6.56,21(5),1.2,1.5,1.1,0,0.5,0.5,0.2,0,6.56,222,,"Jens ToornstraFeyenoord, 26, AM(CR)",24(5),2066,7,4,2.5,2.1,0.6,0.7,0.2,1.3,1.6,7.09,73,,"Jens ToornstraFeyenoord, 26, AM(CR)",24(5),2066,4,2.1,32.1,78.5,2,1.9,-,7.09
Lars Lambooij,Go Ahead Eagles,8(10),899,0,1,1,0,0.4,81.6,0.4,0,6.49,8(10),1.8,1.2,0.6,0,0.7,0.9,0.2,0,6.49,231,,"Ryan ThomasPEC Zwolle, 20, AM(L)",26(4),2058,3,7,1,1.1,1,2,0.1,1.1,1.9,6.96,108,,"Ryan ThomasPEC Zwolle, 20, AM(L)",26(4),2058,7,1.1,22.7,77.5,0.2,1,-,6.96
