Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Robin Gosens,FC Dordrecht,21,31,2445,79,2,0,3,0,1,71.5,121,3.9,1.2,1.6,0.4,0.5,0.6,35.6
Rochdi Achenteh,Vitesse,27,33,2707,82,1,5,4,0,0.4,82.7,73,2.2,0.7,0.8,1.3,0.4,1.5,16.9
Roland Alberg,ADO Den Haag,25,32,2607,81,8,9,7,0,2.2,77.8,38,1.2,1.5,0.8,0.4,0.4,0.4,15.4
Rubio Rubin,Utrecht,19,28,1925,69,3,5,0,0,1.5,80.6,17,0.6,0.6,0.6,0.4,1.2,1.1,26.3
Ryan Thomas,PEC Zwolle,20,30,2058,69,3,7,2,0,1,77.5,39,1.3,0.4,0.6,1,1.7,1.4,59.5
Sam Larsson,Heerenveen,22,21,1766,84,8,4,0,0,1.8,77.1,42,2,0.4,0.3,0.1,2.3,1.6,33.6
Samuel Armenteros,Willem II,25,29,2531,87,11,2,1,0,1.8,75,9,0.3,1.3,0.2,0.1,0.2,0.2,28.9
Sander Duits,Go Ahead Eagles,32,23,1544,67,0,2,7,0,0.4,71.8,53,2.3,1.7,1.4,1.2,1.7,1.6,12.7
Sander Fischer,Excelsior,26,34,3056,90,1,1,4,0,0.3,79.1,61,1.8,1,0.5,0.6,1,1,17
Sander van de Streek,Cambuur,22,29,2218,76,7,2,2,0,1.9,74.6,46,1.6,0.6,0.4,0.6,1,0.8,12.2
Santiago Arias,PSV Eindhoven,23,21,1726,82,1,1,3,0,0.5,83.9,50,2.4,1.3,0.7,1,0.2,0.7,13.1
Sébastien Haller,Utrecht,21,17,1299,76,11,5,1,0,2.9,66.3,15,0.9,1.4,0.4,0.4,1.1,0.5,32.8
Sergio Padt,Groningen,25,32,2880,90,0,1,2,0,0,52.5,3,0.1,0,0.1,1,0.7,0.4,13.9
Simon Cziommer,Heracles,34,26,1266,49,0,1,2,0,1.2,80.5,34,1.3,1.6,0.9,0.9,1.2,2,16.9
Simon Poulsen,AZ Alkmaar,30,32,2749,86,3,3,1,0,0.3,72.6,77,2.4,0.8,1,0.4,0.5,0.2,38.3
Simon Tibbling,Groningen,20,17,1442,85,1,0,1,0,0.4,86.9,29,1.7,0.5,0.9,1,0.7,2.1,24.6
Sjoerd Overgoor,Go Ahead Eagles,26,31,2738,88,1,0,2,0,0.7,80.6,68,2.2,0.7,1.4,0.4,0.4,1.1,19.3
Stef Nijland,PEC Zwolle,27,30,1502,50,11,3,1,1,1.6,76.3,3,0.1,0.4,0.3,0.4,1.5,1.6,13.2
Stefano Marzo,Heerenveen,24,31,2720,88,0,2,5,1,0.1,79.3,105,3.4,1.1,1.2,0.7,1.1,1.7,14.9
Steven Berghuis,AZ Alkmaar,23,22,1690,77,11,4,3,0,2.7,72.6,24,1.1,0.6,0.8,0,0.8,0.2,26.7
Stijn Wuytens,Willem II,25,34,3014,89,2,2,3,0,1,81.8,92,2.7,1.6,0.7,1,1,1,18
Sven Nieuwpoort,Go Ahead Eagles,22,27,2410,89,1,0,3,0,0.4,78.1,46,1.7,1.1,0.4,0.9,0.5,1,19.1
Sven van Beek,Feyenoord,21,31,2746,89,1,1,6,0,0.5,87.9,65,2.1,0.9,0.4,0.8,0.5,0.3,29.9
Terell Ondaan,Willem II,21,33,1799,55,2,5,4,0,1.6,65.8,30,0.9,1.3,0.5,0.1,0.4,0,45.6
Terence Kongolo,Feyenoord,21,31,2684,87,0,1,4,0,0.7,87.2,62,2,0.9,0.4,0.5,1.1,1.6,19.3
Thom Haye,AZ Alkmaar,20,28,1813,65,0,3,3,0,1,73.3,48,1.7,0.8,0.9,0.8,0.3,0.4,33.3
Thomas Bruns,Heracles,23,32,2330,73,7,3,7,0,1.4,68.2,54,1.7,1.2,1.4,0.1,1.2,0.2,38.5
Thomas Kristensen,ADO Den Haag,32,30,2272,76,1,1,3,0,0.4,82.3,63,2.1,0.7,1.4,0.4,0.3,1.1,33.1
Thomas Lam,PEC Zwolle,21,28,1958,70,2,2,7,1,0.5,82.1,42,1.5,1.7,0.8,1.5,1,1,24.9
Thulani Serero,Ajax,25,29,2000,69,1,0,2,0,0.5,89,73,2.5,0.5,0.7,0.5,1.5,1.4,40.3
Timo Letschert,Utrecht,22,23,1843,80,0,1,2,0,0.9,85.4,55,2.4,1,0.6,0.4,0.6,1.2,17.4
Timothy Derijck,ADO Den Haag,28,22,1632,74,0,0,3,0,0.2,82.2,15,0.7,0.9,0.3,1.2,1.4,0.7,40.9
Tjaronn Chery,Groningen,27,34,3019,89,15,6,0,0,3.9,81.8,24,0.7,0.8,0.7,0.2,0.6,0.2,39.9
Tom van Weert,Excelsior,25,32,2643,83,13,2,3,0,2.7,68.1,19,0.6,1.4,0.6,0.8,0.6,1.9,15.5
Tomas Necid,PEC Zwolle,26,24,1728,72,11,3,4,1,2.8,73.1,12,0.5,1.3,0.3,0.5,0.5,0.5,26.7
Tommy Oar,Utrecht,23,18,1480,82,0,7,2,0,1.1,75.3,13,0.7,0.9,0.5,0.4,1.2,1.8,25.7
Tonny Vilhena,Feyenoord,20,21,1067,51,0,0,1,0,1.5,80,23,1.1,1,0.5,1.3,1.1,0.3,22.7
Torgeir Borven,Twente,23,22,565,26,1,0,0,0,0.7,69.5,4,0.2,0.3,0,0.3,1.1,0.6,19.9
Trent Sainsbury,PEC Zwolle,23,17,1134,67,0,1,0,1,0.2,82.8,27,1.6,1.2,0.4,0.8,0.9,1.5,26.9
Uros Djurdjevic,Vitesse,21,17,303,18,1,0,1,0,1.2,69.7,2,0.1,0.6,0.1,0.7,1,1,16.1
Uros Matic,NAC Breda,25,28,2027,72,1,2,2,0,0.9,77.1,56,2,0.7,1.4,0.7,0.9,1.7,10.7
Valeri Qazaishvili,Vitesse,22,33,2365,72,9,3,0,0,2,87.1,40,1.2,0.6,0.5,0.4,0.9,1.2,12.8
Viktor Elm,AZ Alkmaar,29,20,728,36,0,1,2,0,0.3,74.4,12,0.6,0.6,0.3,0.2,0.8,0.3,11.3
Vito Wormgoor,ADO Den Haag,26,26,2227,86,0,1,5,1,0.7,81.7,18,0.7,1.5,0.3,0.6,0.6,0.4,21.8
Vytautas Andriuskevicius,Cambuur,24,27,2236,83,0,0,6,0,0.2,79.5,46,1.7,1.3,0.8,0.6,0.8,0.9,17.5
Wallace,Vitesse,21,18,1178,65,1,1,7,0,0.6,86.8,27,1.5,1.1,0.9,0.7,0.2,0.5,12.1
Warner Hahn,PEC Zwolle,23,30,2700,90,0,0,1,0,0,62.6,0,0,0,0,0.3,0.4,0.5,36
Wesley Hoedt,AZ Alkmaar,21,24,2141,89,2,0,4,0,0.5,80.5,46,1.9,1.5,0.3,0,0.6,0.1,16.1
Willem Janssen,Utrecht,29,30,2538,85,3,0,8,1,1.1,80.1,60,2,1.5,0.8,0.6,0.7,0.8,20.8
William Troost-Ekong,FC Dordrecht,21,22,1570,71,0,0,2,0,0.1,80.8,35,1.6,0.7,0.5,0.4,0.5,1.1,10
Wout Brama,PEC Zwolle,29,20,1355,68,0,1,0,0,0.5,81.3,22,1.1,0.9,0.8,0.9,0.7,0.3,17.6
Wout Weghorst,Heracles,23,31,2431,78,8,5,6,0,1.5,67.5,34,1.1,1.9,0.7,0.3,0.6,1.3,11.1
Xander Houtkoop,ADO Den Haag,26,23,658,29,3,1,0,0,0.5,73.2,7,0.3,0.1,0.1,0.4,0.7,0.6,11.3
Xandro Schenk,Go Ahead Eagles,22,26,1972,76,0,0,2,0,0.2,80.4,65,2.5,1,0.9,0.6,0.3,0.4,7.3
Yassin Ayoub,Utrecht,21,31,2727,88,5,6,6,1,1.4,80.7,105,3.4,1.5,1.3,0.2,0.3,0.4,7
Yoëll van Nieff,Groningen,22,24,1791,75,1,0,2,0,0.3,75.6,65,2.7,0.9,1,0.3,0.9,0.4,10.9
Youness Mokhtar,Twente,24,32,2100,66,5,4,2,0,1.8,78.7,58,1.8,0.9,0.6,0.2,0.2,0.5,3.8
Zakaria Labyad,Vitesse,22,29,2089,72,8,4,4,0,3.4,78.9,29,1,1,0.5,0.3,0.6,0.8,3.9
