Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Eloy Room,Vitesse,26,23,2070,90,0,0,0,0,0,56.1,0,0,0,0,0,0.1,0,34.6
Elvis Manu,Feyenoord,22,26,1428,55,7,4,3,0,2.1,74.8,26,1,1.4,0.3,0.4,0.3,0.4,42.9
Eric Botteghin,Groningen,27,34,3060,90,3,2,4,0,0.8,84.7,92,2.7,1.4,1,1.5,0.7,1,23.4
Erik Bakker,Cambuur,25,27,1860,69,5,0,2,0,1.1,82.5,35,1.3,0.9,0.7,0.4,1.3,0.9,41
Erik Falkenburg,NAC Breda,27,27,2126,79,5,1,2,0,1.9,78.7,32,1.2,1.2,0.8,1.2,1.2,0.5,50.1
Esteban,AZ Alkmaar,26,26,2340,90,0,0,1,0,0,53.8,0,0,0,0.1,0,0.3,0,31.9
Etiënne Reijnen,Cambuur,28,33,2970,90,1,2,7,0,0.4,87,69,2.1,1.2,0.7,0.1,0,0,39.6
Everon Pisas,FC Dordrecht,20,25,1386,55,2,1,2,0,0.6,74.1,15,0.6,0.6,0.6,0.2,1.2,0.1,59
Fahd Aktaou,Heracles,22,21,1639,78,0,0,3,0,0.2,71.8,67,3.2,1,0.8,0.7,1.3,0.8,20.6
Fernando Lewis,Go Ahead Eagles,22,17,983,58,2,1,1,0,0.9,72.1,29,1.7,0.9,0.7,1.3,1.7,1.9,21.7
Filip Kurto,FC Dordrecht,24,32,2841,89,0,1,3,0,0,57.1,0,0,0,0.1,0.8,1.6,0.7,31.7
Frank van der Struijk,Willem II,30,29,2355,81,1,1,3,0,0.3,73.7,52,1.8,1,0.7,0.3,0.9,0.9,36.3
Funso Ojo,FC Dordrecht,24,19,1594,84,0,0,4,0,0.5,77.3,40,2.1,2,0.9,1.5,1.9,1.8,24.9
Furdjel Narsingh,Cambuur,27,23,1756,76,0,8,0,0,1.9,81.2,9,0.4,0.3,0.3,0.2,0.6,0.3,47
Georginio Wijnaldum,PSV Eindhoven,24,33,2878,87,14,3,0,0,2.5,84.4,33,1,0.7,0.4,1,1.5,1.8,20.8
Gévero Markiet,Utrecht,24,29,1885,65,3,1,0,0,0.9,82.3,23,0.8,0.6,0.3,1.1,1.5,1.9,26.9
Gianni Zuiverloon,ADO Den Haag,28,32,2658,83,1,0,5,1,1.3,82.1,86,2.7,1.6,1.1,0.5,1.1,0.5,36.5
Giliano Wijnaldum,Go Ahead Eagles,22,19,1454,77,0,1,3,1,0.1,78.8,34,1.8,1.5,0.4,0.1,0.4,0.2,43.8
Gino Coutinho,Excelsior,33,19,1710,90,0,0,0,0,0,57.6,0,0,0,0.1,1.7,1.4,1.2,39.5
